names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,sex,cluster
Cyt-c-p,10.798465,2.021319,3.5000574223115755e-27,1.4220733306851933e-23,0.6627680311890838,Male,Dopaminergic neurons
Mic10b,8.513254,3.163817,1.6911937232976737e-17,5.153490073318836e-14,0.4015594541910331,Male,Dopaminergic neurons
RpL41,8.314422,1.0728866,9.220055311550521e-17,2.247665083849786e-13,0.7641325536062378,Male,Dopaminergic neurons
VhaM9.7-a,6.908148,1.1139675,4.910214396030769e-12,7.48132540915238e-09,0.6413255360623782,Male,Dopaminergic neurons
CG42613,6.863375,1.2401713,6.725218792058909e-12,9.108187984045115e-09,0.6569200779727096,Male,Dopaminergic neurons
flw,6.5442896,1.656263,5.977883288366324e-11,4.55402621261857e-08,0.4580896686159844,Male,Dopaminergic neurons
CG7646,6.397714,1.177955,1.577202541422627e-10,1.1075217254884508e-07,0.6023391812865497,Male,Dopaminergic neurons
ninaE,5.6075478,1.9877408,2.0521324529399526e-08,9.620554795725033e-06,0.33528265107212474,Male,Dopaminergic neurons
RNaseMRP:RNA,5.224593,3.883577,1.745382141341983e-07,5.5985428738993235e-05,0.22807017543859648,Male,Dopaminergic neurons
sun,4.3384304,1.2663916,1.4350384076842755e-05,0.0023583733553196357,0.3723196881091618,Male,Dopaminergic neurons
28SrRNA-Psi:CR40596,4.223725,3.3100932,2.4029744358404236e-05,0.0036612319248073653,0.1871345029239766,Male,Dopaminergic neurons
mt:srRNA,4.029796,2.888514,5.582527151044347e-05,0.007162351577324328,0.19103313840155944,Male,Dopaminergic neurons
Prosbeta3,-3.421043,-1.4082748,0.000623814900977298,0.04812455587349547,0.09941520467836257,Male,Dopaminergic neurons
EMC7,-3.495879,-1.0252053,0.0004725028658251463,0.03789037783909676,0.15789473684210525,Male,Dopaminergic neurons
Ssb-c31a,-3.496524,-1.0011148,0.0004713618011058075,0.03789037783909676,0.16764132553606237,Male,Dopaminergic neurons
CG8360,-3.5406516,-1.3608809,0.00039914015272405544,0.03400095694240759,0.13060428849902533,Male,Dopaminergic neurons
CG1598,-3.7403867,-1.3892823,0.00018373736112483027,0.018061086247988356,0.1189083820662768,Male,Dopaminergic neurons
Prosbeta4,-3.7486446,-1.2570276,0.00017779291067879688,0.018002413064633262,0.1442495126705653,Male,Dopaminergic neurons
CG7990,-3.8189647,-1.0907009,0.00013401298043517085,0.014455612553312368,0.1871345029239766,Male,Dopaminergic neurons
Dhpr,-4.109793,-1.2485535,3.9601349553047744e-05,0.005313303360635609,0.18323586744639375,Male,Dopaminergic neurons
QIL1,-4.131728,-1.0074668,3.6004633640300646e-05,0.005103028830716565,0.253411306042885,Male,Dopaminergic neurons
Fkbp59,-4.1374054,-1.1206475,3.512554782783593e-05,0.005037003558511673,0.19103313840155944,Male,Dopaminergic neurons
CG15772,-4.3065605,-1.1014463,1.6581248247396414e-05,0.002624790063474219,0.23196881091617932,Male,Dopaminergic neurons
Prosbeta5,-4.4651356,-1.1590852,8.00179788216329e-06,0.001455730065458035,0.20077972709551656,Male,Dopaminergic neurons
Hr38,-4.587325,-1.273685,4.489612143866819e-06,0.0009338475099445243,0.2475633528265107,Male,Dopaminergic neurons
SdhB,-5.236077,-1.0562186,1.6402566039660375e-07,5.4035372285789267e-05,0.34502923976608185,Male,Dopaminergic neurons
UQCR-C1,-5.395297,-1.0011934,6.841023449405818e-08,2.68984628467121e-05,0.42300194931773877,Male,Dopaminergic neurons
ND-B22,-5.8016057,-1.0029876,6.568287625102918e-09,3.63912990283543e-06,0.4502923976608187,Male,Dopaminergic neurons
