gene,sex_effect,treatment_effect,interaction,interaction_p,treatment_p,interaction_padj,treatment_padj
CG10669,0.032652616500854756,0.23877990245819047,0.4053230285644529,0.33097707453362657,0.2626856383306069,0.7978941943028448,0.5839737268494707
CG17385,0.25881302356720004,-0.22202861309051558,-0.24631333351135298,0.3311932797103093,0.11719368140823119,0.7981322813249047,0.5188827073212923
Tbcb,-0.052145123481750016,0.021144986152648038,0.4220054149627681,0.3312894456009991,0.9171874630702213,0.7981322813249047,0.9664510641927415
CG34404,0.19554591178894062,-0.1589033603668213,-0.08394336700439498,0.3314334733888863,0.013910141160625694,0.7981322813249047,0.4536371290401587
CG15445,-0.24931126832962025,-0.06468397378921509,-0.21505415439605735,0.33146423838084305,0.5428716915607411,0.7981322813249047,0.7687333006250474
CG5355,0.1085689067840579,-0.054028511047363725,-0.25122690200805686,0.3315828694820489,0.6596919028130646,0.7981322813249047,0.830425292797638
Tbcd,-0.06864726543426508,0.17388427257537842,0.25963664054870605,0.331585444960352,0.21333263571759536,0.7981322813249047,0.5572825878104357
Tmem131,0.1585617661476137,-0.04145532846450806,-0.292640805244446,0.331918212039124,0.7702710725130842,0.7985790430926869,0.8924488441546002
CG9360,-0.7709774151444435,0.5580834224820135,1.2080029994249342,0.3319410175928525,0.3657771325613965,0.7985790430926869,0.6612147263794812
JhI-21,0.046789765357971344,-0.03582143783569336,-0.4711775779724121,0.3321597857929791,0.8750163180675873,0.798900820859131,0.9462057929667569
ND-75,0.337846398353577,-0.03576672077178955,-0.13298058509826705,0.3322591544032042,0.5851672772394158,0.7989353310969575,0.7893352746618005
CG3061,0.22483503818511985,-0.2287052869796753,-0.23424315452575728,0.33235156339170413,0.09779680109574504,0.798953093167522,0.5113452287998974
Cyp6u1,0.16616976261138938,-0.014665722846985307,0.26134324073791504,0.3326682860213046,0.9076108131171972,0.7989817860322738,0.9617522339718427
ranshi,0.29462832212448137,-0.37134557962417625,-0.25096023082733177,0.33274582408164866,0.03114189626013567,0.7989817860322738,0.4690501786353032
Rpn13,0.3021684885025029,-0.3077975511550912,-0.4124515056610112,0.3328340956884501,0.17578109069455838,0.7989817860322738,0.5412700262593162
Tmem43,0.30815470218658486,-0.18897616863250777,-0.42269730567932173,0.3328626888740289,0.3807952266096563,0.7989817860322738,0.6692225069105929
Tsp42Ea,1.334396064281464,0.3173432946205137,0.755558371543884,0.33293282964897825,0.4076180180788517,0.7989817860322738,0.6871881083399658
sturkopf,0.34582281112670943,-0.21515202522277876,-0.310508251190186,0.33293888968872337,0.20197026274809426,0.7989817860322738,0.5507383116976267
CG33229,0.10945105552673386,-0.24751901626587047,0.3028817176818839,0.3329586755456405,0.1465114220118216,0.7989817860322738,0.5260862944765333
cana,-0.07508504390716544,0.2565941810607909,-0.381980299949646,0.3332173041058677,0.21363504667893524,0.7990111514776366,0.5572825878104357
oc,-0.356210589408874,0.2847877740859972,0.444299459457397,0.33327136317241696,0.23147556286770946,0.7990111514776366,0.5698653037117803
CG4953,0.04854077100753805,-0.018670976161956787,0.2934943437576292,0.3333086077227217,0.8955142535187025,0.7990111514776366,0.957076270102519
CG15550,-0.3334942134097219,0.24697095621377235,-0.637730924412608,0.33331102626288556,0.4424529909773988,0.7990111514776366,0.7052978382043456
Tim8,0.19203817844390902,-0.21439850330352783,-0.17200255393981978,0.33357882686794293,0.051954644019133925,0.7993207759446606,0.49656454088223223
Cpes,0.1836432218551638,-0.08619093894958496,0.19844770431518532,0.3336103100196827,0.3939557043852695,0.7993207759446606,0.6761647039467357
eIF2Bgamma,0.2876918315887455,-0.2914221286773686,-0.28067255020141646,0.3341425023205304,0.08491851685329632,0.8002322261417679,0.508227852732338
Ilp1,-0.23555980250239372,-0.36366888508200645,0.19462139159440975,0.3341975481402201,0.014850825422282441,0.8002322261417679,0.4536371290401587
ProRS-m,0.2222394347190859,-0.3507756590843203,-0.4134536981582644,0.33424619427545377,0.1361789626694477,0.8002322261417679,0.5231632255748121
CG8064,0.2812793850898745,-0.25906318426132224,-0.21260201930999778,0.334357698629763,0.05564494033883458,0.8002329479126439,0.49656454088223223
Ppox,0.1422066390514375,0.0018309056758879505,-0.32328003644943226,0.3344168124351338,0.9906846623405354,0.8002329479126439,0.9968373243402947
CG15814,0.04492712020874085,0.06059098243713246,0.4131989479064937,0.33487582336149363,0.7641049812779104,0.8009260101564967,0.8892946894348144
Usp1,0.13876628875732486,0.029321193695067027,0.14126729965209917,0.3348769068750533,0.6729013838361712,0.8009260101564967,0.8388503985020562
CG5793,0.08563017845153834,-0.09409129619598411,-0.34962034225463867,0.3350322160952152,0.5872901773849847,0.8010935711569306,0.7901631544076547
CG43897,0.2993436455726625,0.11709272861480702,-0.5230863690376281,0.3354851235815289,0.6499867441620463,0.8017041939020205,0.824539259731555
X11Lbeta,-0.04926609992980904,-0.08282923698425382,0.1093115806579581,0.33553274660430277,0.17276519131769638,0.8017041939020205,0.5405851325328034
CG11241,-0.48565071821212763,0.2470017671585083,-0.5441704988479615,0.3355435345979192,0.37698355670277695,0.8017041939020205,0.6671402038297541
pcx,0.14383971691131642,-0.023267149925232822,0.12580513954162553,0.33571104184386136,0.7066214693277227,0.8019005236926195,0.8592408339491547
CG34183,0.18358308076858543,-0.17251974344253562,-0.27004396915435813,0.33622163452895404,0.23543813675548303,0.8028825723063396,0.570870492435593
Sys1,0.3110998868942267,-0.25902950763702526,-0.31993079185485884,0.3363314336443065,0.15184709738646923,0.8028825723063396,0.5304875868485698
par-6,-0.0166883468627924,-0.09336519241333141,0.30171203613281206,0.3366218360057603,0.5365864850895888,0.8028825723063396,0.7636382251078095
Alr,0.18370878696441684,-0.18673360347747847,-0.2646834850311284,0.3367896108141716,0.19871563461147737,0.8028825723063396,0.5503480160459926
stj,0.08747696876525911,-0.22496533393859863,0.21615791320800737,0.3368572515015178,0.08577826223155377,0.8028825723063396,0.508227852732338
Plap,0.2626083493232728,-0.033220112323760986,-0.11640059947967529,0.3368592478562263,0.5674419316732049,0.8028825723063396,0.7811423522292666
Cyp4p1,0.6167119769379499,0.30096815805882193,0.2742122057825327,0.33689825316447153,0.07491052625169684,0.8028825723063396,0.5036113988241875
CG17002,0.24832904338836703,-0.29598391056060835,-0.2486813068389897,0.3369025528584366,0.06035722299159946,0.8028825723063396,0.49656454088223223
sel,0.033340811729431305,0.09557104110717751,-0.3085987567901609,0.33691081280254104,0.5365458540562389,0.8028825723063396,0.7636382251078095
Rev1,0.015549004077911585,0.00512069463729814,0.2621001005172727,0.33700581139131064,0.9680708885904646,0.8028825723063396,0.9870835655473736
Ddx56,0.07304918766021778,0.05507719516754106,0.09462809562683061,0.337069301012459,0.2733952082028831,0.8028825723063396,0.5915484161829363
Gale,0.31645894050598183,-0.18824839591980025,-0.2230148315429692,0.337157199734697,0.1396988999025548,0.8028825723063396,0.5231632255748121
Fife,0.2625639438629157,-0.2036459445953378,0.25780534744262606,0.3372328948486881,0.16036240725939474,0.8028825723063396,0.533329857489812
Arf1,-0.05961215496063188,0.17382204532623247,0.5131947994232173,0.3374261899016163,0.5016849170264853,0.8031392873620792,0.7431039393453808
Uba5,0.011578083038330286,-0.005257725715637429,0.2540438175201414,0.3375898338576719,0.9662245966040937,0.8033253149558225,0.9864837302073246
CG15715,-0.06339251995086635,0.022490620613097256,0.48834204673767045,0.3377485518646937,0.9249927315756582,0.8034995295879815,0.9696738842722512
lncRNA:CR44855,-0.3011475279927254,0.17441146820783612,0.35281576216220856,0.33789466911845584,0.3427563291713915,0.803589789417105,0.6465797704606855
CG16974,0.1402747631072999,0.05452728271484375,0.12860965728759766,0.3380014947425182,0.4086830863235391,0.803589789417105,0.6874039897579823
MBD-R2,-0.00865292549133273,0.18074011802673295,0.2768030166625972,0.33804303900881305,0.22865856946106,0.803589789417105,0.5678011531428063
SLIRP2,0.22382014989852933,-0.12191241979599043,-0.32987582683563255,0.3381828561208083,0.46677419282310795,0.8037188414181172,0.7175092510536006
D2hgdh,0.07538133859634419,-0.34468561410903953,-0.3393586874008181,0.33834701952750335,0.09191972768207143,0.8039056744626926,0.5092464237261379
FoxP,0.0089467763900761,-0.11213076114654541,0.38775849342346147,0.33868970582202806,0.564145420634579,0.8040295100653339,0.7795991937798733
Moe,0.11804533004760773,0.0643467903137207,-0.20930767059326216,0.3388236628504443,0.541105790290645,0.8040295100653339,0.7673967871055223
icln,0.15203189849853552,-0.18594074249267623,-0.3252019882202153,0.3389115409320746,0.28247295438500686,0.8040295100653339,0.5971649836571226
Nsun6,0.22850239276886014,-0.18337357044220015,-0.31439542770385764,0.33896936852420995,0.27435944009717267,0.8040295100653339,0.5926240932676111
CG13339,0.06093311309814498,0.07608127593994096,0.2508749961853023,0.33899233277160945,0.5464796835382073,0.8040295100653339,0.7709457418118202
