names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
wde,-1.879715,-0.13025695,0.060146936048941814,0.2301101705902548,0.2771905097486493
CG5986,-1.8848903,-0.22331612,0.05944465369303556,0.2278524792026448,0.11867512332628612
GAA1,-1.8856356,-0.37168568,0.05934408062198413,0.22753853372172525,0.0507399577167019
Ero1L,-1.886308,-0.425511,0.05925346501925018,0.22726258185010711,0.04439746300211417
Mrm2,-1.8873907,-0.526025,0.059107794267722474,0.2269169808511047,0.03330984261216819
Lrpprc2,-1.8882674,-0.712388,0.05899005413943168,0.2265374196299725,0.02038994597134132
CG8149,-1.8892859,-0.27121258,0.058853530916073094,0.22608436442988178,0.07253934695795161
Dpy-30L1,-1.893657,-0.24198318,0.058270560179901995,0.2240567375497872,0.11552736669015738
SP1029,-1.8943543,-0.46823633,0.058177994457669815,0.22377140247539834,0.04190744655860935
jagn,-1.9035977,-0.23804568,0.05696260397790134,0.2196511166993481,0.12501761804087386
