names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
CG5282,14.841845,1.2004801,7.856587918941233e-50,3.7262237410106883e-48,0.16042576650693355
Fim,14.771694,0.46667796,2.2303484906487837e-49,1.049641612066333e-47,0.4209745133794156
CRMP,14.73287,1.1372597,3.965024246426212e-49,1.851711898072379e-47,0.16466646876722785
futsch,14.700425,0.23129882,6.405593958946709e-49,2.980068120824482e-47,0.8278274882320512
bru3,14.699608,0.39723104,6.4833738543011764e-49,3.0047849395466556e-47,0.559984733471863
Drep2,14.666055,0.49524692,1.0635218371927513e-48,4.891799122091489e-47,0.38098469106484034
CASK,14.650544,0.3380558,1.3364158094531108e-48,6.123899361437581e-47,0.5992112293795853
CG9813,14.551335,0.5081534,5.727415160688683e-48,2.6049053505087448e-46,0.36894109664560454
hbt,14.445817,0.611977,2.6638041791243897e-47,1.1937172477701173e-45,0.297061193333616
Cds,14.426862,0.75211626,3.506774313880166e-47,1.5657169271752873e-45,0.23599508078537806
